train,val,test1
Case120,Case5,Case1
Case115,Case187,Case4
Case210,Case72,Case28
Case64,Case36,Case42
Case31,Case215,Case44
Case110,Case48,Case47
Case141,Case78,Case50
Case105,Case24,Case65
Case174,Case73,Case70
Case38,Case107,Case94
Case199,Case158,Case95
Case118,Case41,Case96
Case139,Case122,Case99
Case79,Case35,Case124
Case198,Case103,Case126
Case10,Case197,Case147
Case2,Case88,Case157
Case102,Case80,Case189
Case7,Case203,Case195
Case84,Case133,Case209
Case212,Case177,
Case98,Case169,
Case144,Case61,
Case142,Case62,
Case111,Case20,
Case160,Case214,
Case116,Case104,
Case33,Case154,
Case168,Case67,
Case9,Case39,
Case166,Case188,
Case6,Case196,
Case138,Case202,
Case171,Case76,
Case132,Case181,
Case175,Case185,
Case204,,
Case159,,
Case137,,
Case161,,
Case163,,
Case27,,
Case46,,
Case93,,
Case85,,
Case205,,
Case53,,
Case17,,
Case194,,
Case25,,
Case172,,
Case140,,
Case128,,
Case109,,
Case87,,
Case75,,
Case40,,
Case152,,
Case13,,
Case100,,
Case12,,
Case54,,
Case89,,
Case143,,
Case200,,
Case97,,
Case32,,
Case56,,
Case91,,
Case179,,
Case153,,
Case184,,
Case121,,
Case176,,
Case208,,
Case34,,
Case164,,
Case213,,
Case190,,
Case108,,
Case19,,
Case18,,
Case193,,
Case146,,
Case57,,
Case16,,
Case150,,
Case136,,
Case37,,
Case178,,
Case81,,
Case148,,
Case90,,
Case173,,
Case127,,
Case71,,
Case113,,
Case167,,
Case43,,
Case145,,
Case82,,
Case162,,
Case182,,
Case45,,
Case52,,
Case129,,
Case29,,
Case106,,
Case186,,
Case191,,
Case8,,
Case55,,
Case30,,
Case180,,
Case156,,
Case112,,
Case14,,
Case123,,
Case68,,
Case69,,
Case92,,
Case101,,
Case134,,
Case165,,
Case77,,
Case83,,
Case59,,
Case149,,
Case58,,
Case170,,
Case155,,
Case22,,
Case130,,
Case23,,
Case26,,
Case66,,
