train,val,test1
Case120,Case182,Case1
Case115,Case45,Case4
Case210,Case52,Case28
Case64,Case129,Case42
Case31,Case29,Case44
Case110,Case106,Case47
Case141,Case186,Case50
Case105,Case191,Case65
Case174,Case8,Case70
Case38,Case55,Case94
Case199,Case30,Case95
Case118,Case180,Case96
Case139,Case156,Case99
Case79,Case112,Case124
Case198,Case14,Case126
Case10,Case123,Case147
Case2,Case68,Case157
Case102,Case69,Case189
Case7,Case92,Case195
Case84,Case101,Case209
Case212,Case134,
Case98,Case165,
Case144,Case77,
Case142,Case83,
Case111,Case59,
Case160,Case149,
Case116,Case58,
Case33,Case170,
Case168,Case155,
Case9,Case22,
Case166,Case130,
Case6,Case23,
Case138,Case26,
Case171,Case66,
Case132,,
Case175,,
Case204,,
Case159,,
Case137,,
Case161,,
Case163,,
Case27,,
Case46,,
Case93,,
Case85,,
Case205,,
Case53,,
Case17,,
Case194,,
Case25,,
Case172,,
Case140,,
Case128,,
Case109,,
Case87,,
Case75,,
Case40,,
Case152,,
Case13,,
Case100,,
Case12,,
Case54,,
Case89,,
Case143,,
Case200,,
Case97,,
Case32,,
Case56,,
Case91,,
Case179,,
Case153,,
Case184,,
Case121,,
Case176,,
Case208,,
Case34,,
Case164,,
Case213,,
Case190,,
Case108,,
Case19,,
Case18,,
Case193,,
Case146,,
Case57,,
Case16,,
Case150,,
Case136,,
Case37,,
Case178,,
Case81,,
Case148,,
Case90,,
Case173,,
Case127,,
Case71,,
Case113,,
Case167,,
Case43,,
Case145,,
Case82,,
Case162,,
Case5,,
Case187,,
Case72,,
Case36,,
Case215,,
Case48,,
Case78,,
Case24,,
Case73,,
Case107,,
Case158,,
Case41,,
Case122,,
Case35,,
Case103,,
Case197,,
Case88,,
Case80,,
Case203,,
Case133,,
Case177,,
Case169,,
Case61,,
Case62,,
Case20,,
Case214,,
Case104,,
Case154,,
Case67,,
Case39,,
Case188,,
Case196,,
Case202,,
Case76,,
Case181,,
Case185,,
