train,val,test1
Case132,Case120,Case1
Case175,Case115,Case4
Case204,Case210,Case28
Case159,Case64,Case42
Case137,Case31,Case44
Case161,Case110,Case47
Case163,Case141,Case50
Case27,Case105,Case65
Case46,Case174,Case70
Case93,Case38,Case94
Case85,Case199,Case95
Case205,Case118,Case96
Case53,Case139,Case99
Case17,Case79,Case124
Case194,Case198,Case126
Case25,Case10,Case147
Case172,Case2,Case157
Case140,Case102,Case189
Case128,Case7,Case195
Case109,Case84,Case209
Case87,Case212,
Case75,Case98,
Case40,Case144,
Case152,Case142,
Case13,Case111,
Case100,Case160,
Case12,Case116,
Case54,Case33,
Case89,Case168,
Case143,Case9,
Case200,Case166,
Case97,Case6,
Case32,Case138,
Case56,Case171,
Case91,,
Case179,,
Case153,,
Case184,,
Case121,,
Case176,,
Case208,,
Case34,,
Case164,,
Case213,,
Case190,,
Case108,,
Case19,,
Case18,,
Case193,,
Case146,,
Case57,,
Case16,,
Case150,,
Case136,,
Case37,,
Case178,,
Case81,,
Case148,,
Case90,,
Case173,,
Case127,,
Case71,,
Case113,,
Case167,,
Case43,,
Case145,,
Case82,,
Case162,,
Case182,,
Case45,,
Case52,,
Case129,,
Case29,,
Case106,,
Case186,,
Case191,,
Case8,,
Case55,,
Case30,,
Case180,,
Case156,,
Case112,,
Case14,,
Case123,,
Case68,,
Case69,,
Case92,,
Case101,,
Case134,,
Case165,,
Case77,,
Case83,,
Case59,,
Case149,,
Case58,,
Case170,,
Case155,,
Case22,,
Case130,,
Case23,,
Case26,,
Case66,,
Case5,,
Case187,,
Case72,,
Case36,,
Case215,,
Case48,,
Case78,,
Case24,,
Case73,,
Case107,,
Case158,,
Case41,,
Case122,,
Case35,,
Case103,,
Case197,,
Case88,,
Case80,,
Case203,,
Case133,,
Case177,,
Case169,,
Case61,,
Case62,,
Case20,,
Case214,,
Case104,,
Case154,,
Case67,,
Case39,,
Case188,,
Case196,,
Case202,,
Case76,,
Case181,,
Case185,,
